Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC
Gradient Boosting,0.7597402597402597,0.6666666666666666,0.6296296296296297,0.6476190476190476,0.8259259259259258,0.8031076965669989
XGBoost,0.7662337662337663,0.68,0.6296296296296297,0.6538461538461539,0.8244444444444444,0.8077810077519381
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.8432295127353268
Random Forest,0.7272727272727273,0.6428571428571429,0.5,0.5625,0.8085185185185185,0.8350581395348836
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.8261641749723145
